,국내 운항편,국제 운항편,국내 여객자수,국제 여객자수
2021-01-01,19213,11012,2975030,178129
2021-02-01,15029,9037,2301365,165890
2021-03-01,17166,11172,2590599,184211
2021-04-01,19213,11012,2975030,178129
2021-05-01,19821,10994,3115255,206462
2021-06-01,18660,10845,3037489,246697
2021-07-01,19380,11021,2926947,3218216
