■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-18,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-02-19~2021-02-25 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,47,"548,115,860","62,415",24.5%,115,"1,407,262,020","153,192",33.8%,162,"1,955,377,880","215,607",30.4%
경기도,22,"481,570,460","52,622",20.6%,71,"971,666,960","106,240",23.4%,93,"1,453,237,420","158,862",22.4%
부산시,21,"182,564,060","20,735",8.1%,78,"278,296,610","32,006",7.1%,99,"460,860,670","52,741",7.4%
대구시,17,"130,330,090","14,516",5.7%,63,"181,870,300","21,056",4.6%,80,"312,200,390","35,572",5.0%
인천시,19,"118,773,120","13,001",5.1%,56,"199,466,890","21,830",4.8%,75,"318,240,010","34,831",4.9%
경상남도,23,"125,638,100","14,183",5.6%,38,"157,347,550","18,157",4.0%,61,"282,985,650","32,340",4.6%
대전시,17,"96,431,360","10,750",4.2%,62,"138,503,700","15,776",3.5%,79,"234,935,060","26,526",3.7%
광주시,20,"94,763,050","10,768",4.2%,52,"107,840,380","12,202",2.7%,72,"202,603,430","22,970",3.2%
충청남도,25,"84,098,800","9,422",3.7%,57,"106,915,160","12,174",2.7%,82,"191,013,960","21,596",3.1%
전라북도,22,"79,455,780","9,257",3.6%,51,"95,095,440","11,080",2.4%,73,"174,551,220","20,337",2.9%
경상북도,14,"69,546,390","8,096",3.2%,36,"88,218,550","10,278",2.3%,50,"157,764,940","18,374",2.6%
충청북도,13,"58,591,360","6,566",2.6%,39,"75,737,660","8,794",1.9%,52,"134,329,020","15,360",2.2%
울산시,11,"54,229,280","6,197",2.4%,50,"78,856,860","8,663",1.9%,61,"133,086,140","14,860",2.1%
강원도,18,"50,162,490","5,797",2.3%,44,"75,341,080","8,638",1.9%,62,"125,503,570","14,435",2.0%
전라남도,14,"55,650,970","6,377",2.5%,26,"54,587,980","6,395",1.4%,40,"110,238,950","12,772",1.8%
제주도,12,"27,668,140","3,068",1.2%,30,"41,618,070","4,787",1.1%,42,"69,286,210","7,855",1.1%
세종시,10,"10,948,330","1,284",0.5%,25,"21,781,010","2,622",0.6%,35,"32,729,340","3,906",0.6%
합계,325,"2,268,537,640","255,054",100%,893,"4,080,406,220","453,890",100%,"1,218","6,348,943,860","708,944",100%
