■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-18,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-03-19~2021-03-25 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,50,"383,939,020","40,366",45.2%,118,"1,772,778,350","183,224",32.5%,168,"2,156,717,370","223,590",34.3%
경기도,25,"149,934,880","14,902",16.7%,60,"1,263,121,090","131,285",23.3%,85,"1,413,055,970","146,187",22.4%
부산시,23,"52,680,280","5,355",6.0%,61,"372,536,930","40,860",7.3%,84,"425,217,210","46,215",7.1%
인천시,17,"32,447,800","3,151",3.5%,52,"253,210,200","26,803",4.8%,69,"285,658,000","29,954",4.6%
대구시,20,"36,241,010","3,640",4.1%,47,"240,648,860","25,867",4.6%,67,"276,889,870","29,507",4.5%
경상남도,18,"22,162,010","2,337",2.6%,39,"196,879,910","21,808",3.9%,57,"219,041,920","24,145",3.7%
대전시,19,"27,424,570","2,513",2.8%,44,"181,098,430","19,110",3.4%,63,"208,523,000","21,623",3.3%
광주시,19,"37,916,290","3,891",4.4%,38,"145,670,530","15,877",2.8%,57,"183,586,820","19,768",3.0%
충청남도,17,"28,510,040","2,932",3.3%,49,"143,614,990","15,580",2.8%,66,"172,125,030","18,512",2.8%
전라북도,22,"14,214,440","1,370",1.5%,40,"128,907,780","14,232",2.5%,62,"143,122,220","15,602",2.4%
경상북도,12,"10,120,150","1,068",1.2%,34,"126,684,580","14,421",2.6%,46,"136,804,730","15,489",2.4%
충청북도,11,"15,986,310","1,664",1.9%,33,"110,849,390","12,489",2.2%,44,"126,835,700","14,153",2.2%
강원도,16,"15,159,370","1,814",2.0%,34,"103,102,720","11,639",2.1%,50,"118,262,090","13,453",2.1%
울산시,13,"13,966,640","1,380",1.5%,38,"103,540,130","11,058",2.0%,51,"117,506,770","12,438",1.9%
전라남도,13,"19,513,560","2,038",2.3%,23,"85,989,110","9,697",1.7%,36,"105,502,670","11,735",1.8%
제주도,10,"5,618,850",481,0.5%,26,"55,147,260","6,100",1.1%,36,"60,766,110","6,581",1.0%
세종시,6,"3,779,340",464,0.5%,24,"29,733,800","3,256",0.6%,30,"33,513,140","3,720",0.6%
합계,311,"869,614,560","89,366",100%,760,"5,313,514,060","563,306",100%,"1,071","6,183,128,620","652,672",100%
