■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-18,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-06-04~2021-06-10 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,42,"114,459,560","13,297",35.0%,93,"3,102,238,760","314,213",28.0%,135,"3,216,698,320","327,510",28.2%
경기도,18,"62,267,070","6,786",17.9%,44,"2,703,389,870","271,587",24.2%,62,"2,765,656,940","278,373",24.0%
부산시,18,"26,771,280","3,133",8.3%,45,"753,298,670","79,589",7.1%,63,"780,069,950","82,722",7.1%
인천시,13,"17,384,180","2,163",5.7%,39,"570,686,530","57,624",5.1%,52,"588,070,710","59,787",5.2%
경상남도,17,"14,450,440","1,644",4.3%,31,"473,770,600","51,753",4.6%,48,"488,221,040","53,397",4.6%
대구시,13,"10,617,020","1,206",3.2%,37,"484,055,880","50,671",4.5%,50,"494,672,900","51,877",4.5%
대전시,13,"8,438,700",918,2.4%,30,"406,080,510","41,327",3.7%,43,"414,519,210","42,245",3.6%
충청남도,19,"11,814,430","1,338",3.5%,31,"363,647,980","37,530",3.3%,50,"375,462,410","38,868",3.4%
광주시,17,"15,211,670","1,720",4.5%,27,"350,699,910","37,715",3.4%,44,"365,911,580","39,435",3.4%
경상북도,23,"7,253,980",816,2.2%,26,"330,266,580","35,581",3.2%,49,"337,520,560","36,397",3.1%
전라북도,16,"10,332,490","1,172",3.1%,26,"319,093,110","34,620",3.1%,42,"329,425,600","35,792",3.1%
충청북도,12,"6,122,870",664,1.8%,21,"275,756,050","28,624",2.6%,33,"281,878,920","29,288",2.5%
전라남도,10,"8,567,880",870,2.3%,20,"205,114,030","21,849",1.9%,30,"213,681,910","22,719",2.0%
강원도,14,"7,906,200",992,2.6%,27,"204,146,490","22,189",2.0%,41,"212,052,690","23,181",2.0%
울산시,8,"8,839,300",948,2.5%,20,"207,927,780","21,538",1.9%,28,"216,767,080","22,486",1.9%
제주도,4,"2,069,000",213,0.6%,19,"108,231,100","11,159",1.0%,23,"110,300,100","11,372",1.0%
세종시,3,"950,500",100,0.3%,17,"60,665,220","6,331",0.6%,20,"61,615,720","6,431",0.6%
합계,260,"333,456,570","37,980",100%,553,"10,919,069,070","1,123,900",100%,813,"11,252,525,640","1,161,880",100%
