,월별,총 이용객수,KTX 이용률,SRT 이용률
0,202101월,"3,640",45,61
1,202102월,"4,213",56,80
2,202103월,"5,205",62,97
3,202104월,"5,370",65,102
4,202105월,"6,913",70,106
