,월별,총 이용객수,KTX 이용률,SRT 이용률
0,201901월,"6,929",86,113
1,201902월,"6,942",96,116
2,201903월,"7,188",90,113
3,201904월,"7,247",95,117
4,201905월,"7,733",98,119
5,201906월,"7,294",94,118
6,201907월,"7,290",93,117
7,201908월,"7,656",96,119
8,201909월,"7,379",95,117
9,201910월,"7,819",98,125
10,201911월,"7,873",107,129
11,201912월,"8,070",101,126
