■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2020-09-27~2020-10-03 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
경기도,25,"3,242,299,510","347,811",23.7%,44,"1,109,104,820","129,938",25.2%,69,"4,351,404,330","477,749",24.1%
서울시,47,"2,907,653,040","303,405",20.7%,101,"1,457,551,750","161,152",31.3%,148,"4,365,204,790","464,557",23.5%
부산시,27,"987,541,020","103,653",7.1%,39,"282,606,300","33,850",6.6%,66,"1,270,147,320","137,503",6.9%
경상남도,24,"826,066,860","93,726",6.4%,21,"203,375,900","24,775",4.8%,45,"1,029,442,760","118,501",6.0%
대구시,23,"792,326,760","85,558",5.8%,23,"207,718,830","24,647",4.8%,46,"1,000,045,590","110,205",5.6%
인천시,18,"764,513,450","83,040",5.7%,23,"222,443,440","26,288",5.1%,41,"986,956,890","109,328",5.5%
대전시,20,"541,966,940","58,892",4.0%,25,"147,835,990","17,425",3.4%,45,"689,802,930","76,317",3.9%
광주시,23,"490,376,340","55,644",3.8%,22,"112,720,700","13,592",2.6%,45,"603,097,040","69,236",3.5%
충청남도,18,"482,825,280","54,669",3.7%,24,"123,897,860","14,635",2.8%,42,"606,723,140","69,304",3.5%
전라북도,22,"423,949,340","48,531",3.3%,14,"96,238,780","11,777",2.3%,36,"520,188,120","60,308",3.1%
경상북도,20,"424,566,840","49,099",3.4%,17,"86,089,420","10,537",2.0%,37,"510,656,260","59,636",3.0%
충청북도,17,"391,607,740","45,920",3.1%,19,"94,070,480","11,477",2.2%,36,"485,678,220","57,397",2.9%
전라남도,12,"331,316,570","39,533",2.7%,10,"65,190,040","7,984",1.6%,22,"396,506,610","47,517",2.4%
울산시,14,"321,372,240","34,709",2.4%,12,"87,076,920","10,146",2.0%,26,"408,449,160","44,855",2.3%
강원도,18,"310,331,790","32,912",2.3%,21,"76,131,460","9,215",1.8%,39,"386,463,250","42,127",2.1%
제주도,13,"168,346,980","18,488",1.3%,9,"37,572,960","4,395",0.9%,22,"205,919,940","22,883",1.2%
세종시,9,"84,354,270","9,289",0.6%,9,"29,696,230","3,718",0.7%,18,"114,050,500","13,007",0.7%
합계,350,"13,491,414,970","1,464,879",100%,433,"4,439,321,880","515,551",100%,783,"17,930,736,850","1,980,430",100%
