연도월별,개봉편수,상영편수,매출액,관객수
2021-01,130,379,"15,793,377,040","1,786,117"
2021-02,149,382,"28,738,934,810","3,111,920"
2021-03,203,444,"30,158,665,300","3,256,510"
2021-04,189,475,"23,544,305,690","2,562,393"
2021-05,148,424,"41,084,306,050","4,380,129"
2021-06,153,404,"47,026,601,590","4,927,993"
2021-07,154,389,"68,342,176,980","6,976,519"
2021-08,24,165,"26,247,905,660","2,707,685"
