연도월별,개봉편수,상영편수,매출액,관객수
2020-01,165,406,"143,681,061,430","16,843,695"
2020-02,150,370,"62,303,647,980","7,372,370"
2020-03,154,344,"15,152,718,950","1,834,722"
2020-04,180,429,"7,515,666,040","972,572"
2020-05,157,436,"12,393,715,040","1,526,236"
2020-06,136,417,"32,760,133,800","3,864,533"
2020-07,170,484,"47,239,833,650","5,618,701"
2020-08,144,431,"77,214,053,539","8,834,741"
2020-09,158,408,"26,032,000,372","2,988,680"
2020-10,170,478,"41,527,927,390","4,633,636"
2020-11,157,578,"32,150,120,750","3,595,334"
2020-12,156,435,"12,404,343,250","1,438,873"
