,국내 운항편,국제 운항편,국내 여객자수,국제 여객자수
2020-01-01,9389,6668,1200660,153087
2020-02-01,12815,33006,1529064,3971511
2020-03-01,7852,10527,1097897,643795
2020-04-01,9389,6668,1200660,153087
2020-05-01,13564,7751,1887474,137330
2020-06-01,14756,7586,2161147,182053
2020-07-01,16524,8159,2468535,2686671
2020-08-01,18173,8458,2826597,3060815
2020-09-01,12854,9111,1847900,2044691
2020-10-01,17958,9452,2747342,2943559
2020-11-01,18379,9990,2943250,3139241
2020-12-01,13639,10489,1714754,1944040
