■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-06-17~2021-06-23 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,39,"366,258,590","43,142",28.2%,78,"3,313,735,570","335,546",30.3%,117,"3,679,994,160","378,688",30.1%
경기도,21,"296,641,840","32,256",21.1%,42,"2,643,052,270","266,372",24.1%,63,"2,939,694,110","298,628",23.7%
부산시,19,"101,828,570","11,537",7.5%,39,"744,690,640","77,299",7.0%,58,"846,519,210","88,836",7.1%
인천시,15,"71,107,420","7,803",5.1%,32,"529,555,550","53,468",4.8%,47,"600,662,970","61,271",4.9%
대구시,15,"69,317,030","7,814",5.1%,31,"497,592,990","52,016",4.7%,46,"566,910,020","59,830",4.8%
경상남도,14,"66,962,230","7,736",5.1%,30,"432,591,800","47,046",4.3%,44,"499,554,030","54,782",4.4%
대전시,16,"53,706,610","5,969",3.9%,21,"383,618,700","39,071",3.5%,37,"437,325,310","45,040",3.6%
광주시,20,"53,330,710","6,211",4.1%,15,"347,704,590","37,048",3.4%,35,"401,035,300","43,259",3.4%
충청남도,13,"49,745,350","5,477",3.6%,30,"328,372,960","33,310",3.0%,43,"378,118,310","38,787",3.1%
경상북도,13,"44,087,980","4,946",3.2%,27,"286,720,130","30,473",2.8%,40,"330,808,110","35,419",2.8%
전라북도,18,"41,123,550","4,580",3.0%,21,"283,716,550","30,514",2.8%,39,"324,840,100","35,094",2.8%
충청북도,7,"31,916,380","3,448",2.3%,17,"252,364,820","26,215",2.4%,24,"284,281,200","29,663",2.4%
강원도,13,"32,921,590","3,855",2.5%,20,"202,429,660","21,758",2.0%,33,"235,351,250","25,613",2.0%
울산시,9,"26,259,320","2,981",2.0%,15,"202,698,170","20,723",1.9%,24,"228,957,490","23,704",1.9%
전라남도,10,"27,207,380","3,097",2.0%,13,"179,844,850","18,875",1.7%,23,"207,052,230","21,972",1.7%
제주도,4,"14,889,000","1,581",1.0%,13,"99,592,400","10,184",0.9%,17,"114,481,400","11,765",0.9%
세종시,3,"5,764,510",651,0.4%,11,"59,966,370","6,339",0.6%,14,"65,730,880","6,990",0.6%
합계,249,"1,353,068,060","153,084",100%,455,"10,788,248,020","1,106,257",100%,704,"12,141,316,080","1,259,341",100%
