■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-01-29~2021-02-03 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,38,"163,889,400","19,212",32.7%,114,"1,893,402,360","201,978",31.4%,152,"2,057,291,760","221,190",31.5%
경기도,16,"107,399,100","12,398",21.1%,51,"1,515,681,880","162,357",25.3%,67,"1,623,080,980","174,755",24.9%
부산시,18,"39,420,900","4,775",8.1%,57,"374,239,950","41,613",6.5%,75,"413,660,850","46,388",6.6%
대구시,16,"28,506,840","3,503",6.0%,40,"281,851,640","31,120",4.8%,56,"310,358,480","34,623",4.9%
인천시,13,"22,246,980","2,606",4.4%,29,"289,659,970","30,974",4.8%,42,"311,906,950","33,580",4.8%
경상남도,10,"22,283,770","2,554",4.4%,29,"225,235,230","25,096",3.9%,39,"247,519,000","27,650",3.9%
대전시,14,"18,864,550","2,170",3.7%,22,"208,305,500","22,495",3.5%,36,"227,170,050","24,665",3.5%
충청남도,13,"14,808,540","1,761",3.0%,30,"179,372,780","19,625",3.1%,43,"194,181,320","21,386",3.1%
광주시,15,"13,702,170","1,523",2.6%,27,"145,814,740","16,462",2.6%,42,"159,516,910","17,985",2.6%
전라북도,15,"12,838,210","1,547",2.6%,24,"148,573,700","16,499",2.6%,39,"161,411,910","18,046",2.6%
충청북도,9,"9,552,660","1,099",1.9%,18,"116,685,260","13,415",2.1%,27,"126,237,920","14,514",2.1%
강원도,8,"8,872,130","1,061",1.8%,25,"120,458,060","13,416",2.1%,33,"129,330,190","14,477",2.1%
울산시,8,"11,540,930","1,399",2.4%,20,"113,740,700","12,319",1.9%,28,"125,281,630","13,718",2.0%
경상북도,18,"9,163,320","1,086",1.9%,20,"116,949,480","12,689",2.0%,38,"126,112,800","13,775",2.0%
전라남도,8,"9,429,080","1,056",1.8%,12,"89,596,970","10,785",1.7%,20,"99,026,050","11,841",1.7%
제주도,6,"5,872,130",649,1.1%,13,"65,498,550","7,436",1.2%,19,"71,370,680","8,085",1.2%
세종시,6,"2,549,340",309,0.5%,14,"40,812,460","4,599",0.7%,20,"43,361,800","4,908",0.7%
합계,231,"500,940,050","58,708",100%,545,"5,925,879,230","642,878",100%,776,"6,426,819,280","701,586",100%
