■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-02-04~2021-02-10 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,28,"148,503,830","19,230",34.0%,94,"1,958,491,750","203,716",29.7%,122,"2,106,995,580","222,946",30.0%
경기도,16,"91,463,220","10,952",19.4%,48,"1,543,218,480","162,002",23.6%,64,"1,634,681,700","172,954",23.3%
부산시,19,"35,272,370","4,210",7.4%,55,"461,298,270","50,812",7.4%,74,"496,570,640","55,022",7.4%
대구시,13,"24,362,120","2,921",5.2%,44,"316,321,090","34,626",5.0%,57,"340,683,210","37,547",5.1%
인천시,15,"21,754,500","2,680",4.7%,34,"310,324,810","32,623",4.8%,49,"332,079,310","35,303",4.8%
경상남도,10,"20,511,710","2,452",4.3%,31,"298,179,730","33,029",4.8%,41,"318,691,440","35,481",4.8%
대전시,11,"16,795,520","1,990",3.5%,26,"229,820,460","24,588",3.6%,37,"246,615,980","26,578",3.6%
충청남도,13,"13,732,760","1,657",2.9%,46,"196,948,140","21,628",3.2%,59,"210,680,900","23,285",3.1%
전라북도,16,"14,646,410","1,780",3.1%,31,"187,118,120","20,708",3.0%,47,"201,764,530","22,488",3.0%
광주시,11,"16,032,620","1,823",3.2%,27,"173,123,330","18,897",2.8%,38,"189,155,950","20,720",2.8%
경상북도,14,"11,334,170","1,434",2.5%,25,"147,984,990","16,406",2.4%,39,"159,319,160","17,840",2.4%
강원도,8,"8,989,670","1,097",1.9%,25,"137,476,010","15,094",2.2%,33,"146,465,680","16,191",2.2%
충청북도,7,"10,222,220","1,179",2.1%,23,"138,129,130","15,283",2.2%,30,"148,351,350","16,462",2.2%
울산시,7,"10,919,490","1,338",2.4%,26,"136,142,200","14,429",2.1%,33,"147,061,690","15,767",2.1%
전라남도,9,"7,352,120",907,1.6%,17,"100,606,990","11,124",1.6%,26,"107,959,110","12,031",1.6%
제주도,6,"4,784,470",565,1.0%,16,"71,536,200","7,882",1.2%,22,"76,320,670","8,447",1.1%
세종시,8,"3,243,680",393,0.7%,19,"34,102,680","3,749",0.6%,27,"37,346,360","4,142",0.6%
합계,211,"459,920,880","56,608",100%,587,"6,440,822,380","686,596",100%,798,"6,900,743,260","743,204",100%
