■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-02-25~2021-03-03 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,45,"345,770,230","37,737",20.7%,113,"1,848,151,870","202,176",32.6%,158,"2,193,922,100","239,913",29.9%
경기도,20,"352,559,830","37,566",20.6%,65,"1,406,507,190","148,351",23.9%,85,"1,759,067,020","185,917",23.2%
부산시,23,"141,072,080","15,541",8.5%,64,"401,361,430","44,409",7.2%,87,"542,433,510","59,950",7.5%
대구시,17,"103,339,850","11,033",6.0%,49,"263,588,160","28,810",4.6%,66,"366,928,010","39,843",5.0%
인천시,18,"94,589,810","9,968",5.5%,50,"283,742,600","29,783",4.8%,68,"378,332,410","39,751",5.0%
경상남도,20,"95,529,540","10,493",5.8%,30,"240,344,040","26,674",4.3%,50,"335,873,580","37,167",4.6%
대전시,12,"75,316,100","8,143",4.5%,46,"196,311,830","21,281",3.4%,58,"271,627,930","29,424",3.7%
충청남도,12,"72,325,680","7,855",4.3%,41,"163,409,900","17,821",2.9%,53,"235,735,580","25,676",3.2%
광주시,16,"78,220,830","8,638",4.7%,44,"148,966,370","16,485",2.7%,60,"227,187,200","25,123",3.1%
전라북도,22,"59,097,600","6,797",3.7%,35,"124,177,950","14,066",2.3%,57,"183,275,550","20,863",2.6%
경상북도,12,"55,065,230","6,145",3.4%,27,"130,376,110","14,632",2.4%,39,"185,441,340","20,777",2.6%
울산시,10,"48,956,270","5,412",3.0%,33,"115,238,910","12,492",2.0%,43,"164,195,180","17,904",2.2%
충청북도,11,"50,968,270","5,465",3.0%,33,"112,987,130","12,532",2.0%,44,"163,955,400","17,997",2.2%
강원도,15,"34,684,240","3,924",2.2%,35,"101,630,960","11,149",1.8%,50,"136,315,200","15,073",1.9%
전라남도,11,"43,615,960","4,773",2.6%,13,"80,773,100","9,106",1.5%,24,"124,389,060","13,879",1.7%
제주도,5,"21,580,960","2,335",1.3%,23,"64,875,990","7,129",1.2%,28,"86,456,950","9,464",1.2%
세종시,4,"6,712,380",770,0.4%,18,"32,402,540","3,629",0.6%,22,"39,114,920","4,399",0.6%
합계,273,"1,679,404,860","182,595",100%,719,"5,714,846,080","620,525",100%,992,"7,394,250,940","803,120",100%
