■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-04-08~2021-04-14 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,48,"385,961,010","44,846",37.0%,99,"1,024,178,760","105,476",31.2%,147,"1,410,139,770","150,322",32.7%
경기도,33,"221,831,390","24,157",19.9%,47,"767,381,240","77,782",23.0%,80,"989,212,630","101,939",22.2%
부산시,31,"72,187,680","8,574",7.1%,50,"230,387,520","25,369",7.5%,81,"302,575,200","33,943",7.4%
대구시,18,"49,880,140","5,827",4.8%,33,"157,219,560","16,664",4.9%,51,"207,099,700","22,491",4.9%
인천시,21,"40,941,060","4,476",3.7%,35,"156,968,100","16,131",4.8%,56,"197,909,160","20,607",4.5%
경상남도,25,"47,641,940","5,590",4.6%,31,"138,437,990","14,899",4.4%,56,"186,079,930","20,489",4.5%
광주시,20,"37,067,620","4,039",3.3%,30,"104,832,860","11,136",3.3%,50,"141,900,480","15,175",3.3%
대전시,15,"29,851,820","3,227",2.7%,29,"98,198,680","10,043",3.0%,44,"128,050,500","13,270",2.9%
충청남도,19,"26,819,980","2,993",2.5%,44,"102,228,510","10,511",3.1%,63,"129,048,490","13,504",2.9%
경상북도,14,"25,453,920","2,922",2.4%,22,"87,192,040","9,453",2.8%,36,"112,645,960","12,375",2.7%
충청북도,10,"21,594,160","2,501",2.1%,26,"72,433,630","7,776",2.3%,36,"94,027,790","10,277",2.2%
전라북도,18,"21,375,620","2,571",2.1%,28,"69,637,710","7,572",2.2%,46,"91,013,330","10,143",2.2%
강원도,12,"19,571,060","2,354",1.9%,30,"61,013,980","6,615",2.0%,42,"80,585,040","8,969",2.0%
전라남도,9,"27,296,780","2,822",2.3%,16,"58,148,820","6,101",1.8%,25,"85,445,600","8,923",1.9%
울산시,10,"18,433,950","2,177",1.8%,28,"64,701,820","6,639",2.0%,38,"83,135,770","8,816",1.9%
제주도,4,"13,044,330","1,470",1.2%,16,"41,395,330","4,414",1.3%,20,"54,439,660","5,884",1.3%
세종시,5,"5,283,610",603,0.5%,14,"16,243,900","1,711",0.5%,19,"21,527,510","2,314",0.5%
합계,312,"1,064,236,070","121,149",100%,578,"3,250,600,450","338,292",100%,890,"4,314,836,520","459,441",100%
