■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-05-06~2021-05-12 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,49,"429,916,210","45,832",28.1%,107,"965,107,040","105,645",31.4%,156,"1,395,023,250","151,477",30.3%
경기도,27,"356,034,180","36,109",22.2%,57,"742,623,770","79,964",23.8%,84,"1,098,657,950","116,073",23.3%
부산시,27,"109,361,070","11,519",7.1%,60,"220,093,590","25,278",7.5%,87,"329,454,660","36,797",7.4%
대구시,19,"82,454,500","8,525",5.2%,41,"150,063,300","16,534",4.9%,60,"232,517,800","25,059",5.0%
인천시,24,"78,233,340","7,957",4.9%,44,"151,374,410","16,159",4.8%,68,"229,607,750","24,116",4.8%
경상남도,22,"71,132,670","8,017",4.9%,34,"116,732,650","13,368",4.0%,56,"187,865,320","21,385",4.3%
대전시,17,"57,781,710","5,870",3.6%,31,"103,163,830","11,298",3.4%,48,"160,945,540","17,168",3.4%
충청남도,24,"53,453,210","5,598",3.4%,47,"93,290,780","10,436",3.1%,71,"146,743,990","16,034",3.2%
광주시,21,"56,197,870","5,948",3.7%,32,"77,018,330","8,677",2.6%,53,"133,216,200","14,625",2.9%
경상북도,18,"47,398,630","5,258",3.2%,25,"79,306,910","9,081",2.7%,43,"126,705,540","14,339",2.9%
충청북도,14,"41,333,530","4,410",2.7%,26,"72,834,100","8,022",2.4%,40,"114,167,630","12,432",2.5%
전라북도,18,"44,639,630","4,907",3.0%,27,"67,829,440","7,798",2.3%,45,"112,469,070","12,705",2.5%
강원도,13,"32,238,120","3,667",2.3%,43,"61,260,940","7,220",2.2%,56,"93,499,060","10,887",2.2%
전라남도,14,"37,476,520","4,094",2.5%,16,"52,821,740","5,882",1.8%,30,"90,298,260","9,976",2.0%
울산시,14,"24,180,940","2,564",1.6%,24,"43,050,010","4,790",1.4%,38,"67,230,950","7,354",1.5%
제주도,10,"17,782,490","1,891",1.2%,17,"36,331,130","3,965",1.2%,27,"54,113,620","5,856",1.2%
세종시,9,"7,389,310",841,0.5%,14,"19,039,340","2,119",0.6%,23,"26,428,650","2,960",0.6%
합계,340,"1,547,003,930","163,007",100%,645,"3,051,941,310","336,236",100%,985,"4,598,945,240","499,243",100%
