■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2020-11-08~2020-11-14 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,79,"2,079,315,410","223,699",25.9%,126,"516,649,020","60,900",44.7%,205,"2,595,964,430","284,599",28.4%
경기도,33,"1,790,925,470","190,895",22.1%,54,"198,369,740","23,053",16.9%,87,"1,989,295,210","213,948",21.4%
부산시,28,"624,057,710","68,214",7.9%,58,"85,333,040","11,257",8.3%,86,"709,390,750","79,471",7.9%
대구시,23,"435,913,700","47,498",5.5%,38,"72,143,030","9,559",7.0%,61,"508,056,730","57,057",5.7%
인천시,23,"424,088,010","46,178",5.3%,45,"46,598,620","6,013",4.4%,68,"470,686,630","52,191",5.2%
경상남도,25,"406,622,770","46,281",5.4%,40,"29,218,490","3,867",2.8%,65,"435,841,260","50,148",5.0%
대전시,19,"291,628,010","31,119",3.6%,37,"32,267,200","3,776",2.8%,56,"323,895,210","34,895",3.5%
광주시,20,"299,696,370","31,960",3.7%,33,"25,081,280","2,934",2.2%,53,"324,777,650","34,894",3.5%
전라북도,24,"254,361,440","29,248",3.4%,34,"22,214,050","2,978",2.2%,58,"276,575,490","32,226",3.2%
경상북도,26,"247,486,200","28,171",3.3%,33,"14,664,820","1,870",1.4%,59,"262,151,020","30,041",3.0%
충청남도,21,"213,917,690","24,209",2.8%,40,"17,538,210","2,176",1.6%,61,"231,455,900","26,385",2.6%
충청북도,13,"208,781,090","23,437",2.7%,32,"15,781,370","2,008",1.5%,45,"224,562,460","25,445",2.5%
울산시,10,"203,370,600","22,074",2.6%,30,"18,026,980","2,169",1.6%,40,"221,397,580","24,243",2.4%
강원도,22,"164,564,420","19,965",2.3%,34,"12,950,760","1,737",1.3%,56,"177,515,180","21,702",2.2%
전라남도,13,"154,314,880","17,401",2.0%,20,"6,734,150",820,0.6%,33,"161,049,030","18,221",1.8%
제주도,9,"87,843,970","9,705",1.1%,19,"5,577,250",675,0.5%,28,"93,421,220","10,380",1.0%
세종시,9,"43,429,280","5,042",0.6%,13,"3,933,650",460,0.3%,22,"47,362,930","5,502",0.6%
합계,397,"7,930,317,020","865,096",100%,686,"1,123,081,660","136,252",100%,"1,083","9,053,398,680","1,001,348",100%
