서울시,,,,,,
월,상연편수,매출액,관객수,,,
1월,275,"5,318,627,980","590,817",,,
2월,271,"8,627,546,660","923,216",,,
3월,302,"9,861,709,920","1,043,482",,,
4월,354,"7,343,839,770","803,073",,,
5월,305,"11,742,696,610","1,243,941",,,
6월,266,"13,844,498,620","1,435,891",,,
7월,266,"17,501,571,310","1,750,071",,,
