부산시,,,
월,상연편수,매출액,관객수
1월,113,"9,852,369,060","1,165,672"
2월,103,"4,393,675,580","528,699"
3월,136,"3,695,888,400","448,091"
4월,180,"519,575,980","67,925"
5월,151,"878,112,180","111,177"
6월,147,"2,558,478,680","303,897"
7월,175,"3,611,968,780","435,413"
8월,122,"5,708,718,900","653,760"
9월,121,"1,925,813,790","222,822"
10월,119,"2,999,012,330","330,555"
11월,168,"2,555,606,250","290,289"
12월,145,"877,511,330","103,566"
