부산시,,,
월,상연편수,매출액,관객수
1월,107,"10,633,895,350","1,269,274"
2월,94,"13,318,043,880","1,558,115"
3월,125,"8,808,312,160","1,034,366"
4월,167,"27,513,630,030","3,226,198"
5월,118,"11,059,679,880","1,329,958"
6월,113,"13,178,339,890","1,558,035"
7월,108,"12,116,230,330","1,462,385"
8월,105,"14,804,018,040","1,763,093"
9월,115,"9,133,831,560","1,084,514"
10월,129,"8,651,274,240","1,049,570"
11월,132,"10,463,200,930","1,277,877"
12월,118,"12,631,076,680","1,544,403"
