부산시,,,
월,상연편수,매출액,관객수
1월,134,"1,014,291,820","119,288"
2월,168,"2,078,967,390","230,308"
3월,169,"2,103,881,320","234,575"
4월,171,"1,671,057,040","188,238"
5월,152,"2,941,836,720","322,045"
6월,131,"3,334,804,830","355,127"
7월,111,"5,179,090,830","526,489"
