■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-18,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-02-12~2021-02-18 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,39,"477,302,730","52,765",25.0%,107,"1,822,370,500","188,566",30.2%,146,"2,299,673,230","241,331",28.9%
경기도,19,"421,675,760","45,686",21.7%,57,"1,448,466,940","150,416",24.1%,76,"1,870,142,700","196,102",23.5%
부산시,21,"158,120,190","17,477",8.3%,62,"413,734,910","44,664",7.2%,83,"571,855,100","62,141",7.4%
대구시,18,"107,491,070","11,837",5.6%,46,"271,040,880","29,194",4.7%,64,"378,531,950","41,031",4.9%
인천시,22,"93,476,240","10,007",4.8%,43,"295,871,790","30,526",4.9%,65,"389,348,030","40,533",4.9%
경상남도,16,"102,413,180","11,471",5.4%,27,"268,274,350","28,902",4.6%,43,"370,687,530","40,373",4.8%
대전시,16,"87,136,210","9,341",4.4%,39,"206,839,860","21,952",3.5%,55,"293,976,070","31,293",3.8%
광주시,17,"80,591,810","8,706",4.1%,34,"166,558,530","18,084",2.9%,51,"247,150,340","26,790",3.2%
충청남도,20,"66,329,560","7,170",3.4%,37,"177,795,150","19,067",3.1%,57,"244,124,710","26,237",3.1%
전라북도,19,"64,228,800","7,344",3.5%,32,"155,960,330","17,410",2.8%,51,"220,189,130","24,754",3.0%
경상북도,16,"52,238,340","5,936",2.8%,31,"136,107,830","14,949",2.4%,47,"188,346,170","20,885",2.5%
울산시,9,"48,602,940","5,438",2.6%,32,"128,755,660","13,391",2.2%,41,"177,358,600","18,829",2.3%
충청북도,12,"45,662,150","4,902",2.3%,27,"122,242,690","13,348",2.1%,39,"167,904,840","18,250",2.2%
강원도,13,"37,458,630","4,313",2.1%,28,"114,237,730","12,247",2.0%,41,"151,696,360","16,560",2.0%
전라남도,11,"47,027,480","5,009",2.4%,25,"94,408,880","10,280",1.7%,36,"141,436,360","15,289",1.8%
제주도,10,"21,839,400","2,426",1.2%,25,"71,573,530","7,649",1.2%,35,"93,412,930","10,075",1.2%
세종시,11,"8,351,970",932,0.4%,18,"33,449,510","3,605",0.6%,29,"41,801,480","4,537",0.5%
합계,289,"1,919,946,460","210,760",100%,670,"5,927,689,070","624,250",100%,959,"7,847,635,530","835,010",100%
