■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-18,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-03-05~2021-03-11 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,44,"140,636,780","12,942",24.5%,104,"2,229,397,330","232,295",32.4%,148,"2,370,034,110","245,237",31.9%
경기도,17,"89,613,560","9,315",17.6%,61,"1,646,497,200","173,212",24.2%,78,"1,736,110,760","182,527",23.7%
부산시,21,"43,896,620","4,410",8.4%,61,"469,473,970","52,111",7.3%,82,"513,370,590","56,521",7.4%
대구시,18,"31,354,000","3,137",5.9%,48,"300,596,520","32,606",4.6%,66,"331,950,520","35,743",4.7%
인천시,14,"27,353,390","2,593",4.9%,53,"320,227,100","33,544",4.7%,67,"347,580,490","36,137",4.7%
경상남도,15,"24,046,210","2,575",4.9%,37,"271,835,350","30,381",4.2%,52,"295,881,560","32,956",4.3%
대전시,12,"21,876,700","2,298",4.4%,40,"227,072,620","24,106",3.4%,52,"248,949,320","26,404",3.4%
충청남도,14,"24,022,770","2,387",4.5%,41,"183,963,250","20,008",2.8%,55,"207,986,020","22,395",2.9%
광주시,15,"25,613,210","2,625",5.0%,41,"161,809,600","17,606",2.5%,56,"187,422,810","20,231",2.6%
전라북도,17,"16,596,440","1,834",3.5%,40,"152,790,700","17,143",2.4%,57,"169,387,140","18,977",2.5%
경상북도,14,"16,116,870","1,823",3.5%,30,"148,778,670","16,655",2.3%,44,"164,895,540","18,478",2.4%
강원도,12,"12,823,790","1,464",2.8%,33,"129,062,570","14,607",2.0%,45,"141,886,360","16,071",2.1%
울산시,7,"14,678,810","1,564",3.0%,33,"135,907,590","14,746",2.1%,40,"150,586,400","16,310",2.1%
충청북도,8,"14,423,610","1,477",2.8%,32,"127,777,150","14,347",2.0%,40,"142,200,760","15,824",2.1%
전라남도,8,"15,332,870","1,709",3.2%,21,"97,799,360","10,888",1.5%,29,"113,132,230","12,597",1.6%
제주도,2,"4,981,810",528,1.0%,30,"69,213,660","7,623",1.1%,32,"74,195,470","8,151",1.1%
세종시,4,"1,474,010",154,0.3%,23,"40,471,650","4,362",0.6%,27,"41,945,660","4,516",0.6%
합계,242,"524,841,450","52,835",100%,728,"6,712,674,290","716,240",100%,970,"7,237,515,740","769,075",100%
