■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-18,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-05-14~2021-05-20 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,45,"351,059,140","38,134",28.5%,112,"2,200,134,570","228,351",26.6%,157,"2,551,193,710","266,485",26.9%
경기도,28,"281,182,780","29,084",21.7%,55,"2,046,906,000","210,642",24.6%,83,"2,328,088,780","239,726",24.2%
부산시,27,"91,014,050","9,866",7.4%,58,"600,279,540","64,552",7.5%,85,"691,293,590","74,418",7.5%
대구시,22,"66,068,130","6,965",5.2%,36,"440,563,570","47,348",5.5%,58,"506,631,700","54,313",5.5%
인천시,23,"57,847,380","5,917",4.4%,42,"416,212,550","42,494",5.0%,65,"474,059,930","48,411",4.9%
경상남도,17,"47,863,730","5,319",4.0%,33,"373,850,660","41,352",4.8%,50,"421,714,390","46,671",4.7%
대전시,20,"47,417,580","4,878",3.6%,29,"293,524,930","30,592",3.6%,49,"340,942,510","35,470",3.6%
충청남도,18,"45,857,320","4,904",3.7%,49,"278,159,980","29,596",3.5%,67,"324,017,300","34,500",3.5%
광주시,22,"51,601,290","5,786",4.3%,29,"255,093,930","27,730",3.2%,51,"306,695,220","33,516",3.4%
경상북도,14,"38,737,970","4,278",3.2%,27,"243,467,350","26,908",3.1%,41,"282,205,320","31,186",3.1%
전라북도,28,"37,780,870","4,273",3.2%,31,"219,930,590","23,902",2.8%,59,"257,711,460","28,175",2.8%
충청북도,14,"36,908,880","4,084",3.1%,27,"208,966,120","22,351",2.6%,41,"245,875,000","26,435",2.7%
강원도,14,"28,921,720","3,409",2.5%,33,"155,770,240","17,074",2.0%,47,"184,691,960","20,483",2.1%
울산시,13,"20,576,980","2,267",1.7%,26,"166,479,120","17,263",2.0%,39,"187,056,100","19,530",2.0%
전라남도,13,"26,045,060","2,670",2.0%,19,"135,335,400","14,408",1.7%,32,"161,380,460","17,078",1.7%
제주도,9,"11,282,500","1,178",0.9%,17,"75,797,100","7,955",0.9%,26,"87,079,600","9,133",0.9%
세종시,11,"8,077,830",996,0.7%,17,"48,230,600","5,247",0.6%,28,"56,308,430","6,243",0.6%
합계,338,"1,248,243,210","134,008",100%,640,"8,158,702,250","857,765",100%,978,"9,406,945,460","991,773",100%
