■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-18,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-05-07~2021-05-13 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,49,"415,990,370","44,546",28.7%,112,"949,891,510","103,819",32.0%,161,"1,365,881,880","148,365",30.9%
경기도,29,"334,491,200","33,921",21.8%,55,"708,898,770","75,727",23.3%,84,"1,043,389,970","109,648",22.8%
부산시,31,"105,129,050","11,156",7.2%,59,"216,796,930","24,800",7.6%,90,"321,925,980","35,956",7.5%
대구시,21,"78,212,540","8,135",5.2%,40,"146,547,580","16,068",5.0%,61,"224,760,120","24,203",5.0%
인천시,24,"72,467,770","7,374",4.8%,44,"145,769,240","15,521",4.8%,68,"218,237,010","22,895",4.8%
경상남도,25,"67,301,990","7,554",4.9%,34,"113,291,080","12,921",4.0%,59,"180,593,070","20,475",4.3%
대전시,19,"52,462,840","5,346",3.4%,31,"101,133,580","10,980",3.4%,50,"153,596,420","16,326",3.4%
충청남도,24,"50,753,980","5,292",3.4%,44,"88,859,280","9,876",3.0%,68,"139,613,260","15,168",3.2%
광주시,23,"54,835,340","5,837",3.8%,32,"74,833,350","8,392",2.6%,55,"129,668,690","14,229",3.0%
경상북도,17,"44,528,790","4,939",3.2%,25,"76,118,090","8,726",2.7%,42,"120,646,880","13,665",2.9%
전라북도,18,"43,561,400","4,770",3.1%,27,"66,598,870","7,622",2.4%,45,"110,160,270","12,392",2.6%
충청북도,13,"38,957,330","4,140",2.7%,26,"70,333,960","7,714",2.4%,39,"109,291,290","11,854",2.5%
강원도,13,"30,319,520","3,448",2.2%,40,"59,559,120","6,935",2.1%,53,"89,878,640","10,383",2.2%
전라남도,15,"34,731,980","3,779",2.4%,16,"49,467,410","5,405",1.7%,31,"84,199,390","9,184",1.9%
울산시,17,"23,443,380","2,490",1.6%,24,"42,073,700","4,661",1.4%,41,"65,517,080","7,151",1.5%
제주도,10,"16,331,020","1,720",1.1%,17,"34,030,190","3,675",1.1%,27,"50,361,210","5,395",1.1%
세종시,11,"7,247,870",839,0.5%,14,"18,164,580","2,014",0.6%,25,"25,412,450","2,853",0.6%
합계,359,"1,470,766,370","155,286",100%,640,"2,962,367,240","324,856",100%,999,"4,433,133,610","480,142",100%
