기준년월 : 2019.03,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2018년 03월,2019년 03월,증감률(%)
운항(편),국내,16229,16042,-1.2
운항(편),국제,41163,44644,8.5
운항(편),계,57392,60686,5.7
여객(명),국내,2481489,2542337,2.5
여객(명),국제,7100401,7555163,6.4
여객(명),계,9581890,10097500,5.4
화물(톤),국내,24706,20985,-15.1
화물(톤),국제,362973,354098,-2.4
화물(톤),계,387679,375083,-3.2
