기준년월 : 2019.01,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2018년 01월,2019년 01월,증감률(%)
운항(편),국내,15511,16079,3.7
운항(편),국제,42116,45046,7
운항(편),계,57627,61125,6.1
여객(명),국내,2537312,2551617,0.6
여객(명),국제,7529515,8023960,6.6
여객(명),계,10066827,10575577,5.1
화물(톤),국내,22964,24115,5
화물(톤),국제,341793,334087,-2.3
화물(톤),계,364757,358202,-1.8
