기준년월 : 2020.09,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2019년 09월,2020년 09월,증감률(%)
운항(편),국내,15725,12854,-18.3
운항(편),국제,42415,9111,-78.5
운항(편),계,58140,21965,-62.2
여객(명),국내,2560657,1847900,-27.8
여객(명),국제,6803109,196791,-97.1
여객(명),계,9363766,2044691,-78.2
화물(톤),국내,21769,14605,-32.9
화물(톤),국제,324643,255615,-21.3
화물(톤),계,346412,270220,-22
