기준년월 : 2019.07,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2018년 07월,2019년 07월,증감률(%)
운항(편),국내,16763,16712,-0.3
운항(편),국제,42553,46735,9.8
운항(편),계,59316,63447,7
여객(명),국내,2648969,2748034,3.7
여객(명),국제,7297275,7963263,9.1
여객(명),계,9946244,10711297,7.7
화물(톤),국내,22314,20523,-8
화물(톤),국제,351621,335593,-4.6
화물(톤),계,373935,356116,-4.8
