기준년월 : 2021.04,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2020년 04월,2021년 04월,증감률(%)
운항(편),국내,9389,19213,104.6
운항(편),국제,6668,11012,65.1
운항(편),계,16057,30225,88.2
여객(명),국내,1200660,2975030,147.8
여객(명),국제,153087,178129,16.4
여객(명),계,1353747,3153159,132.9
화물(톤),국내,10142,17010,67.7
화물(톤),국제,220720,284825,29
화물(톤),계,230862,301835,30.7
