기준년월 : 2021.03,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2020년 03월,2021년 03월,증감률(%)
운항(편),국내,7852,17166,118.6
운항(편),국제,10527,11172,6.1
운항(편),계,18379,28338,54.2
여객(명),국내,1097897,2590599,136
여객(명),국제,643795,184211,-71.4
여객(명),계,1741692,2774810,59.3
화물(톤),국내,10617,16383,54.3
화물(톤),국제,252142,293189,16.3
화물(톤),계,262759,309572,17.8
