기준년월 : 2021.06,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2020년 06월,2021년 06월,증감률(%)
운항(편),국내,14756,18660,26.5
운항(편),국제,7586,10845,43
운항(편),계,22342,29505,32.1
여객(명),국내,2161147,3037489,40.5
여객(명),국제,182053,246697,35.5
여객(명),계,2343200,3284186,40.2
화물(톤),국내,12998,16919,30.2
화물(톤),국제,219341,282981,29
화물(톤),계,232339,299900,29.1
