기준년월 : 2019.06,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2018년 06월,2019년 06월,증감률(%)
운항(편),국내,16578,16519,-0.4
운항(편),국제,40568,44658,10.1
운항(편),계,57146,61177,7.1
여객(명),국내,2829036,2814523,-0.5
여객(명),국제,6993670,7727595,10.5
여객(명),계,9822706,10542118,7.3
화물(톤),국내,21360,19830,-7.2
화물(톤),국제,340264,330019,-3
화물(톤),계,361624,349849,-3.3
