기준년월 : 2019.04,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
구 분,구 분,총괄,총괄,총괄
구 분,구 분,2018년 04월,2019년 04월,증감률(%)
운항(편),국내,16311,15998,-1.9
운항(편),국제,39500,43296,9.6
운항(편),계,55811,59294,6.2
여객(명),국내,2876920,2753960,-4.3
여객(명),국제,6891056,7389048,7.2
여객(명),계,9767976,10143008,3.8
화물(톤),국내,23580,20855,-11.6
화물(톤),국제,344304,329481,-4.3
화물(톤),계,367884,350336,-4.8
